Question,Updated_question,Answer,Context,Similarity,Keyword
How does the influence of π-topology on the properties of pyrene compare to that on its isomer azupyrene?,How does the influence of π-topology on the properties of a substance with a small EPC value of 0.04 and no annulenoid conjugation compare to that on its isomer azupyrene?,"The text does not specify which has a greater or lesser influence, only that both are being compared for their π-topology influences.","['In this study, we explore the influence of the π-topology on the properties of polycyclic aromatic hydrocarbons by comparing pyrene with its isomer azupyrene.', 'Pyrene has a small EPC value of 0.04, which indicates that no annulenoid conjugation is present.', 'Results and Discussion Preparation of the Polycrystalline Thin FilmsTo gain insight into the electronic structure of azupyrene and pyrene, thin polycrystalline films of the molecules were prepared and studied under ultra-high vacuum (UHV) conditions.']",0.538461538,pyrene
What is the binding energy of CO when Al is located at the center of a six-membered ring with three framework Al centers and the CO is inside the sodalite cage?,What is the binding energy of a substance that forms a stable carbonyl complex with Al +3 cation and exhibits the highest known C-O stretching frequency for any solid material when Al is located at the center of a six-membered ring with three framework Al centers and the substance is inside the sodalite cage?,The binding energy of CO is -1.24 eV.,"['CO is bound the most strongly with BE(CO) of -1.24 eV when Al is located at the center of a sixmembered ring with three framework Al centers and the CO is inside the sodalite cage (structure CO/Ex1).', 'Al +3 bare cation interacts strongly with CO, forming a stable Al +3 -CO carbonyl complex with the highest known C-O stretching frequency for any solid material.', 'As a reference, we also considered the CO adsorption to a zeolite proton in the regular structure containing one Al center (structure CO/OH).']",0.536585366,CO
Why did the genetic algorithm converge upon producing multiple generations capable of consistently producing high fibril fractions?,"Why did the genetic algorithm converge upon producing multiple generations capable of consistently producing high levels of the proportion of structures exhibiting a substantial increase in the 1,2 2-ribbon amyloid fibril topology?","The genetic algorithm was initialized with parameters that produced low but non-zero fibril fractions and evolved over 10 generations. This approach allowed the algorithm to effectively explore and optimize the parameter space, eventually converging on parameter sets that consistently yielded high fibril fractions.","['In order to showcase the robustness of the genetic algorithm, the four lowest non-zero fibril fraction parameters were selected as generation zero (fibril fractions of 0.04, 0.02, 0.02, and 0.02). ', 'After completing 10 generations of evolution using the genetic algorithm, the process converged upon producing multiple generations capable of consistently producing fibril fractions in excess of .6.', 'The evolution of the 1,2 2-ribbon is highlighted, as it is both the amyloid fibril topology most commonly observed in nature , and it exhibited a substantial increase in fibril fraction as a result of applying our genetic algorithm.', 'Single simulations were run for all parameters, and though most produced zero fibril fraction, a select few did produce some fibrillar structure.']",0.535714286,fibril fraction
What were detected using a single-crystal silicon wafer drop-coated with JUC-557-nanosheet as a visual fluorescence sensing platform?,What were detected using a single-crystal silicon wafer drop-coated with a nanosheet that has a K_a value of 1.27 × 10^5 M^-1 in seawater as a visual fluorescence sensing platform?,"Different analytes, including Fe 3+ (0.01 M), I 2 (0.005 M), NB (0.0005 M), and TNT (0.0005 M)","['A single-crystal silicon wafer drop-coated with JUC-557-nanosheet as a facile visual fluorescence sensing platform was utilized to detect different analytes, including Fe 3+ (0.01 M), I 2 (0.005 M), NB (0.0005 M), and TNT (0.0005 M).', 'The K a value of JUC-557-nanosheet with I 2 in seawater was estimated to be 1.27 × 10 5 M -1 , which is slightly lower than that from pure I 2 because organics in seawater could partially react with iodine.', 'In addition, due to the larger spectrum overlap of JUC-557-nanosheet with NB, the quenching effect of JUC-557-nanosheet for NB was better than that of JUC-557-nanosheet for TNT.wave functionalbased methods we show that NO2 is bound via hydrogen bonding to the ligand leading to energy down shift of the lowest triplet state (T1) of the photosensitizing ligand.']",0.535714286,juc-557-nanosheet
How does the level of variation in Lennard-Jones parameters for ubiquitin compare between QUBE and OPLS?,How does the level of variation in Lennard-Jones parameters for ubiquitin compare between a small molecule and protein force field designed for studying intermolecular interactions in the condensed phase and OPLS?,The QUBE Lennard-Jones parameters show a far greater level of variation than OPLS.,"['As has previously been observed, the QUBE Lennard-Jones parameters show a far greater level of variation than OPLS (and most other force fields).', 'Therefore, although simulated protein backbone dynamics is an important test, we envisage the QUBE small molecule and protein force field being particularly important for the study of intermolecular interactions in the condensed phase.', 'Since the non-bonded parametrization strategy employed in QUBE is very different to that used in the standard biomolecular force fields (e.g. AMBER, OPLS, CHARMM), there is no reason to believe that they are compatible.']",0.535714286,QUBE
Why were the backbone torsional parameters for dipeptides excluding serine and threonine fit to the alanine and glycine scans?,"Why were the backbone torsional parameters for a set of twenty molecules formed by two amino acids, excluding serine and threonine, fit to the alanine and glycine scans?","The backbone torsional parameters for all dipeptides tested, excluding serine and threonine, were fit to the alanine and glycine scans because these scans were previously described and presumably provided a reliable basis for parameter optimization.","['The backbone torsional parameters for all dipeptides tested, excluding serine and threonine, were fit to the alanine and glycine scans previously described.', 'Statistics were collected over a period of 200 ns for dipeptides and Ala 5 and Gly 3 , and 0.5 µs for the proteins.', 'The performance of the QUBE protein force field is tested through comparisons between experiment and molecular dynamics (MD) simulations for a set of twenty dipeptides, the glycine tripeptide and alanine pentapeptide, and a range of small folded proteins.']",0.535714286,dipeptide
"What action is taken if a change in S conf,est or the number of unique conformers is observed?",What action is taken if a change in the parameter used in combination with B97-3c and B3LYP to improve statistical measures or the number of unique conformers is observed?,A new iteration of 36 sMTDs is conducted using input structures and static bias structures determined from the updated ensemble.,"['If no change (within a 2 % threshold) in S conf,est and the total number of unique conformers is observed, the final conformational entropy is calculated. ', 'Otherwise, a new iteration of 36 sMTDs is conducted using input structures and static bias structures determined from the updated ensemble.', 'The origin of the error for TEA (overestimation by approximately 5 %) remains unknown, but it has not been removed from the statistics presented in Tab. 2. Without TEA the statistics would improve even further to low MADs and RMSDs of 0.77 and 1.04 cal mol -1 K -1 for B97-3c and 0.87 and 1.18 cal mol -1 K -1 for B3LYP in combination with S conf (GFN2-xTB), respecitvely.', 'This procedure is repeated until convergence is reached both with regards to S conf,est and the number of unique conformers in the ensemble.']",0.535714286,s conf
"Which has a higher dissociation constant, MitoFlag(L-D) or MitoFlag(L-E)?","Which has a higher dissociation constant, a substance with a dissociation constant of 60.75 µM or MitoFlag(L-E)?",MitoFlag(L-E) has a higher dissociation constant than MitoFlag(L-D).,"['The observations in TEM agree with the dissociation constants (Kd) of the binding between NLSH2B and MitoFlag(L-D), MitoFlag(L-E) and MitoFlag(D-D), which are 60.75, 107.94 and 184.81 µM, respectively.', 'The observations in TEM (Figure ) agree with the dissociation constants (Kd) of the binding between NLSH2B and MitoFlag(L-D), MitoFlag(L-E) and MitoFlag(D-D), which are 60.75, 107.94 and 184.81 µM, respectively.', 'Moreover, the critical micelle concentration (CMC) of MitoFlag(L-D) is 200 \uf06dM , and the CMCs of MitoFlag(L-E) and MitoFlag(D-D) are 193 and 148 \uf06dM, respectively (Figure ).']",0.533333333,mitoflag(l-d
Why does azoMTX show a higher affinity to eDHFR when irradiated with violet light compared to green light?,Why does the compound that can be isomerized between E and Z isomers using light irradiation show a higher affinity to eDHFR when irradiated with violet light compared to green light?,"AzoMTX shows a higher affinity to eDHFR when irradiated with violet light because this irradiation isomerizes azoMTX from the E isomer to the Z isomer, which has a higher affinity to eDHFR. Conversely, green light irradiation induces reverse isomerization from Z to E, reducing its affinity to eDHFR.","['Violet light irradiation, typically at 394 nm, isomerizes azoMTX from the E isomer to the Z isomer, whereas green light, typically at 560 nm, induces reverse isomerization from Z to E. ', 'Since (Z)-azoMTX has a higher affinity to eDHFR than the E isomer, azoMTX was associated with and dissociated from eDHFR repeatedly by alternating irradiation with different wavelengths of light.', 'Violet light irradiation, typically at 394 nm, isomerizes azoMTX from the E isomer to the Z isomer, whereas green light, typically at 560 nm, induces reverse isomerization from Z to E. Since (Z)-azoMTX has a higher affinity to eDHFR than the E isomer, azoMTX was associated with and dissociated from eDHFR repeatedly by alternating irradiation with different wavelengths of light.', 'This is presumably because the two carboxy groups of azoMTX were replaced with -H and -CONHR (R: alkyl group) in pcDH, indicating that either or bothwere washed twice with HBSS (+) and treated with 3 µM pcDH in DMEM for 1 h. The culture medium was replaced with HBSS (+).']",0.533333333,azomtx
Why does azoMTX show a higher affinity to eDHFR when irradiated with violet light compared to green light?,"Why does a substance containing carboxy groups, one of which was removed to enhance cell membrane permeability, show a higher affinity to eDHFR when irradiated with violet light compared to green light?","AzoMTX shows a higher affinity to eDHFR when irradiated with violet light because this irradiation isomerizes azoMTX from the E isomer to the Z isomer, which has a higher affinity to eDHFR. Conversely, green light irradiation induces reverse isomerization from Z to E, reducing its affinity to eDHFR.","['Violet light irradiation, typically at 394 nm, isomerizes azoMTX from the E isomer to the Z isomer, whereas green light, typically at 560 nm, induces reverse isomerization from Z to E. ', 'Since (Z)-azoMTX has a higher affinity to eDHFR than the E isomer, azoMTX was associated with and dissociated from eDHFR repeatedly by alternating irradiation with different wavelengths of light.', 'One of the carboxy groups of azoMTX was removed for the design of pcDH to enhance its cell membrane permeability.', 'The K d,Dark /K d,394 of pcDH to eDHFR was ~3, which was smaller than that of azoMTX (~12-fold) .']",0.533333333,azomtx
"What type of cells were expressing cytPINK1-mOrange2-eDHFR, miRFP670nano-Parkin, pSu9-mEGFP, and Halo-OMP25 at 60 min post-initial violet illumination?","What type of cells were expressing cytPINK1-mOrange2-eDHFR, a protein that does not accumulate in the absence of pcDH regardless of illumination wavelength, pSu9-mEGFP, and Halo-OMP25 at 60 min post-initial violet illumination?",HeLa cells,"['Confocal fluorescence ', 'images of HeLa cells expressing cytPINK1-mOrange2-eDHFR, miRFP670nano-Parkin, pSu9-mEGFP, and Halo-OMP25 at 60 min post-initial violet illumination.', 'In the absence of pcDH, no accumulation of cytPINK1-mOrange2-eDHFR or miRFP670nano-Parkin was observed, regardless of the illumination wavelength (Fig. , Extended Data Fig. ).', 'd,e, Time-course changes of PCC between cytPINK1-mOrange2-eDHFR and pSu9-mEGFP (green) or between miRFP670nano-Parkin and pSu9-mEGFP (magenta) with violet light illumination for 10 min (d) and 3 min (e).']",0.533333333,mirfp670nano-parkin
Why were the binding affinities of TMP-Fl and pcDH determined using fluorescence polarization with specific excitation and emission wavelengths?,Why were the binding affinities of TMP-Fl and pcDH determined using a measure that varies between a minimum and maximum value depending on the concentration of specific components with specific excitation and emission wavelengths?,"The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization with specific excitation and emission wavelengths to accurately measure the interaction between these molecules under controlled conditions, which helps in understanding their binding properties and potential biological relevance.","['The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization recorded on a multimode plate reader (Nivo, PerkinElmer, Waltham, MA, USA). ', 'The excitation and emission wavelengths were set to 480/30 and 530/30 nm, respectively.', 'Cell population containing both fluorophores were aliquoted and frozen.was determined from the plot obtained using Equation (1).P = Pmin + (Pmax -Pmin) × (([L]T + [P]T + Kd,L) -sqrt{([L]T + [P]T + Kd,L) 2 -4[P]T[L]T}) / 2[L]T,(1)where P is the fluorescence polarization at each eDHFR concentration, Pmin is the minimum fluorescence polarization, Pmax is the maximum fluorescence polarization, [L]T is the total concentration of TMP-Fl, and [P]T is the total concentration of eDHFR.To determine the dissociation constant of the eDHFR-pcDH complex, a mixture of pcDH, TMP-Fl (1.5 nM), eDHFR (2.0 nM), and NADPH (5.0 µM) was incubated at 37 °C for 45 min in 100 mM HEPES-NaOH buffer (pH 7.4) containing 100 mM NaCl before the measurements.', 'IC50 values were determined from the plot obtained using Equation (2).P = Pmin + (Pmax -Pmin) / (1 + ([pcDH] / IC50))(2)where P is fluorescence polarization at each pcDH concentration, Pmax is fluorescence polarization without pcDH, and Pmin is minimum fluorescence polarization.']",0.533333333,fluorescence polarization
Why were the binding affinities of TMP-Fl and pcDH determined using fluorescence polarization with specific excitation and emission wavelengths?,Why were the binding affinities of TMP-Fl and pcDH determined using a method that involves measuring the emission of light by a substance after it has absorbed light with specific excitation and emission wavelengths?,"The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization with specific excitation and emission wavelengths to accurately measure the interaction between these molecules under controlled conditions, which helps in understanding their binding properties and potential biological relevance.","['The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization recorded on a multimode plate reader (Nivo, PerkinElmer, Waltham, MA, USA). ', 'The excitation and emission wavelengths were set to 480/30 and 530/30 nm, respectively.', 'f, Competitive binding assay of pcDH and eDHFR using fluorescence polarization.', 'Cell population containing both fluorophores were aliquoted and frozen.was determined from the plot obtained using Equation (1).P = Pmin + (Pmax -Pmin) × (([L]T + [P]T + Kd,L) -sqrt{([L]T + [P]T + Kd,L) 2 -4[P]T[L]T}) / 2[L]T,(1)where P is the fluorescence polarization at each eDHFR concentration, Pmin is the minimum fluorescence polarization, Pmax is the maximum fluorescence polarization, [L]T is the total concentration of TMP-Fl, and [P]T is the total concentration of eDHFR.To determine the dissociation constant of the eDHFR-pcDH complex, a mixture of pcDH, TMP-Fl (1.5 nM), eDHFR (2.0 nM), and NADPH (5.0 µM) was incubated at 37 °C for 45 min in 100 mM HEPES-NaOH buffer (pH 7.4) containing 100 mM NaCl before the measurements.']",0.533333333,fluorescence polarization
"How does the type, concentration, and position of intercalants affect the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D COFs?","How does the type, concentration, and position of intercalants affect the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D covalent organic frameworks that can have their spintronic behavior fine-tuned by the number of layers?","The type, concentration, and position of intercalants change the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D COFs. Structurally, intercalation results in changes in the interlayer distance, which relates directly to the interaction strength between the transition metals and the bilayer. Magnetically, a wide range of stable spin configurations is observed, which depends on the type, position, and concentration of intercalants.","['Our analyses reveal that the type, concentration, and position of intercalants changes their structural, magnetic, and electronic features. ', 'Structurally, intercalation results in changes in the interlayer distance, which can be directly related to interaction strength between the transition metals and the bilayer. ', 'Magnetically, we observe a wide range of stable spin configurations (FM, FiM, AFM, NM), which depend on the type, position, and concentration of intercalants.', 'This is an important result, as we see that spintronic behavior in 2D COFs can be fine tuned by the number of layers, which is an effect that has not been researched in the past for this family of compounds.', ""We found that the concentration and position of transition metals in the structure can drastically change the 2D COFs' electronic and magnetic features.""]",0.533333333,cof
What are the advantages and disadvantages of using the variational quantum eigensolver (VQE) compared to quantum phase estimation (QPE) in quantum computing?,What are the advantages and disadvantages of using a NISQ-friendly algorithm with low circuit depths proposed to compute eigenstates of a Hamiltonian compared to quantum phase estimation (QPE) in quantum computing?,"QPE requires successive operations that exceed the capability of noisy intermediate-scale quantum devices and is not practical for realistic applications. On the other hand, VQE, being a hybrid quantum-classical algorithm, requires significantly smaller quantum resources compared to QPE and has been successfully deployed in ground-state simulations of small molecules on NISQ devices.","['To execute this operation, each of e i Ĥt is decomposed into millions or billions of quantum gates, which exceeds the capability of noisy intermediate-scale quantum (NISQ) devices. ', 'Consequently, although QPE is an important milestone in quantum computing for quantum simulations, it is not practical for realistic applications. ', 'By leveraging classical optimization techniques with quantum measurements, VQE requires significantly smaller quantum resources compared to QPE. ', 'The VQE algorithm has been successfully deployed in ground-state simulations of small molecules on NISQ devices and is exploited in many algorithms for quantum computing for molecular simulations.', 'To ensure the orthonormality of the eigenstates of H, we use the VQD method , the extension of VQE to compute the k th excited state by minimizing the following cost functionF ({θ k }) = ⟨Ψ({θ k })| H|Ψ({θ k })⟩ + k-1 i=0 W i |⟨Ψ({θ k })|Ψ({θ i })⟩| 2 ,(43)where {θ k } represents the set of variational parameters optimized to obtain the minimum E k .{θ i } is the set of variational parameters that is already determined for the state|Ψ i ⟩ i∈0,••• ,k-1 .{W i } is the set of sufficiently large real-valued coefficients.', 'To address this limitation, a more NISQ-friendly algorithm with low circuit depths, called a variational quantum eigensolver (VQE), was proposed .']",0.533333333,VQE
How does the adsorption of perfluorinated acids onto the MOF's active sites lead to the detection of PFAS in water?,How does the adsorption of perfluorinated acids onto the MOF's active sites lead to the detection of a substance comprised of a hydrophilic head with an acidic hydrogen and a fluorine-rich hydrophobic tail in water?,"The perfluorinated acids are rapidly adsorbed onto the MOF's active sites and act as excellent oxidative agents towards the electron-rich channel, resulting in an increase in the channel conductance. This increase in conductance is then used to detect trace amounts of PFAS in water.","[""We show that by simply dipping the MOF-coated device channel into contaminated water samples, the perfluorinated acids are rapidly adsorbed onto the MOF's active sites and act as excellent oxidative agents towards the electron-rich channel. "", 'The resulting increase in the channel conductance was then used to detect traces amounts of PFAS in water.', 'We thus targeted the sensing of perfluoroalkyls (PFAS) which are comprised of a hydrophilic head with an acidic hydrogen (either carboxylic or sulfonic) and a fluorine-rich hydrophobic tail.', 'This sensing mechanism was also inspired by the recent success of MOFs ( e.g. NU-1000, Cr-MIL-101) towards adsorbing PFAS in water.']",0.533333333,PFAS
For which dipeptides are the right-handed α-helical populations small?,For which substances composed of two amino acids are the right-handed α-helical populations small?,All the dipeptides,"['The right-handed α-helical populations are small for all the dipeptides.', 'Statistics were collected over a period of 200 ns for dipeptides and Ala 5 and Gly 3 , and 0.5 µs for the proteins.', 'There are several dipeptides which show populations of left-handed α-helical conformation.']",0.533333333,dipeptide
For which dipeptides are the right-handed α-helical populations small?,For which substances composed of two amino acids are the right-handed α-helical populations small?,All the dipeptides,"['The right-handed α-helical populations are small for all the dipeptides.', 'Statistics were collected over a period of 200 ns for dipeptides and Ala 5 and Gly 3 , and 0.5 µs for the proteins.', 'The serine and threonine dipeptides do not sample identical regions to the other dipeptides, which is not unexpected given that they have a separate set of backbone torsional parameters.']",0.533333333,dipeptide
What is the ground-state structure of AlN and Al 1-x Gd x N alloys when x is less than 0.82?,What is the ground-state structure of AlN and Al 1-x alloys with a substance that does not decompose into metallic form or rocksalt form when x is less than 0.82?,Context is insufficient to answer the question,"['Wurtzite is the ground-state structure of AlN and Al 1-x Gd x N alloys up to the critical composition of x c =0.82, above which the rocksalt structure is more stable.', 'No decomposition, for example to metallic Gd or rocksalt GdN, was observed via laboratory XRD as a result of sequential 3 minute anneals every 100 K from 600 K up to 1273 K. There is no significant change in the unit cell volume across the temperature range, as shown in Figure (c), so we attribute small shifts in the (0 0 2) peak position to strain effects from mismatch in the coefficients of thermal expansion between Al 1-x Gd x N and the Si substrate.', 'Here, Tb is chosen because of its similar ionic size and electronegativity to Gd and Pr because it lies in the lanthanoid series between La (no f electrons) and Gd.']",0.533333333,gd
How does the substrate scope for aryl thiols compare to that for alkyl thiols in their coupling reactions with triflates?,How does the substrate scope for aryl thiols compare to that for alkyl thiols in their coupling reactions with a substance that requires elevated temperatures (80-140 °C) and can be coupled using Pd-catalyzed methods?,"The substrate scope for aryl thiols is extensive, whereas it is limited for alkyl thiols.","['They demonstrated an extensive substrate scope for aryl thiols, but only a limited scope for alkyl thiols(3 examples) providing moderate yields.', 'Electrophiles derived from Estrone 1q and Ezetimibe 1r weresuccessfully coupled and furnished the correspondingthioethers in 59% and 55% yields.bis(diphenylphosphane)and require elevated temperatures (80-140 °C) to couple aryltriflates with mainly aryl thiols (Scheme 1a).a) Example of a Pd-Catalyzed Coupling of Aryl Triflates with Aryl ThiolsPd 2 (dba) 3 (2.5 mol%)OTf+HSRXantphos (5.0 mol%) iPr 2 NEt (2.0 equiv.) 1,4-dioxane, refluxSR6 examples (67-92%)b) Electrochemical Ni-Catalyzed Coupling of Alkenyl Triflates with Aryl ThiolsOTfNi(cod) 2 (15 mol%)SR+HSRbpy (15 mol%) Bu 4 NOAc (3 equiv.)GFE(+)/NFE(-), 2mA2.0 equiv.', '7e A promising reactivity of triflates was observed in electrophile competition experiments, which led us to expand the scope of the methodology to aryl and alkenyl triflates (Scheme 1c).']",0.53125,triflate
Why can the SOMO not be simply described as either a 4d z2 or 5s function on Y?,Why can the molecular orbital that exhibits quenched orbital angular momentum in the ground state and is nearly isotropic not be simply described as either a 4d z2 or 5s function on Y?,"The SOMO cannot be simply described as either a 4d z2 or 5s function on Y because the electron is easily delocalized across the molecule, indicating that the unpaired electron occupies very diffuse ligand-based orbitals.","['There are seven excited states less than 20,000 cm -1 above the ground state, all having the unpaired electron in very diffuse ligand based orbitals (Figs. S37 -S43and Tables ). ', 'This indicates that the electron is easily delocalized across the molecule, and explains why the SOMO cannot be simply described as either a 4d z 2 or 5s function on Y.', 'Our calculations show that this is due to quenched orbital angular momentum in the ground state; vibrational modulation of gor A-anisotropy is minimized because of the near-isotropic nature of these two parameters, effectively rendering the two-level quantum system insensitive to environmental and molecular vibrations.. The isotropic nature of the spin Hamiltonian is also consistent with the observation that there is no significant variation in relaxation dynamics for different orientations, despite the 4d z 2 admixture to the SOMO.', 'This indicates that the electron is easily delocalized across the molecule, and explains why the SOMO cannot be simply described as either a 4d z 2 or 5s function on Y. Indeed, it is not until the eighth and ninth excited states (at ca. 34,000 cm -1 ) that we find other metal-dominated MOs, which correspond mainly to the Y-based 4d xz and 4d yz functions (Figs. S44 and S45, Tables and).']",0.53125,SOMO
What is the step after the substrates are carefully rinsed by dipping in fresh ethanol in the process of MOF film growth?,What is the step after the substrates are carefully rinsed by dipping in fresh ethanol in the process of growing a film of a substance with oxygen-rich coordination sites and 8 different configurations of NH2 groups?,The substrates are transferred into another container with a 0.1 mM solution of HHTP ligand in ethanol.,"['MOF film growth: ', 'A 1 mM solution of copper acetate was first pulled over treated substrates and allowed adhere onto the surface for 10 mins. ', 'The substrates were then carefully rinsed by dipping in fresh ethanol before being transferred into another container with a 0.1 mM solution of HHTP ligand in ethanol. ', 'The ligand exchange on the substrate surface was then allowed to proceed for 20 minutes without disturbance at ambient. ', 'After rinsing off unreacted ligands with fresh ethanol, the dipping steps were repeated to desired film thickness.', 'In addition, the oxygen-rich coordination sites render the Cu-HHTP MOF film predominantly hydrophilic, making it an ideal candidate towards analytes with hydrophilic ends.', 'A total of 8 different configurations of the NH2 groups within the MOF were considered for 1 and 2 in order to account for the fractional occupation of the amino site reported experimentally (Fig. ).']",0.53125,MOF
Why does using CASPT2 instead of CASSCF in parametrizing LVC potentials lead to a larger retention and relative retention of the singlet population?,Why does using CASPT2 instead of a computational method used to determine LVC parameters for the lowest-lying 16 triplet and 15 singlet states lead to a larger retention and relative retention of the singlet population?,"Using CASPT2 in place of CASSCF energies leads to a larger total retention of singlet population at extended simulation times, specifically 9% in the CASSCF/CASPT2 dynamics versus 1% in the CASSCF dynamics. Additionally, the relative retention is larger, as the singlet population falls from a maximum of 43% to 9%, approximately a fifth of its maximum value, compared to falling from 10% to 1%, about a tenth of its maximum value in the CASSCF dynamics.","['We had previously discussed the possible influence of using CASPT2 to parametrize the LVC potentials in the Supporting Information of Ref. 1. ', 'There, we argued that using CASPT2 in place of CASSCF energies would lead to three differences. ', 'First, the 3 T 1 ′ --→ 3 A 2 internal conversion would be partially quenched through shifting of 3 A 2 energies. ', 'This hypothesis is realized in the CASSCF/CASPT2 dynamics, that now show only 50% of the population moving via the 3 T 1 ′ --→ 3 A 2 pathway compared to the 70% of the CASSCF dynamics. ', 'Second, the long-lived singlet population would increase through partial quenching of the Sing --→ 3 T 2 back-intersystem crossing. ', 'This second hypothesis is also realized in the CASSCF/CASPT2 dynamics ', 'The CASSCF/CASPT2 dynamics thereby not only show a larger total retention of singlet population at extended simulation times, i.e., 9% in the CASSCF/CASPT2 dynamics vs. 1% in the CASSCF dynamics. ', 'The CASSCF/CASPT2 dynamics also show a larger relative retention, as the singlet population falls from the maximum of 43% to 9%, i.e,. to ca. a fifth of its maximum value, while it falls from 10% to 1%, i.e., a tenth of its maximum value in the CASSCF dynamics.', 'The LVC parameters were determined for the lowest-lying 16 triplet and 15 singlet states using a combination of CASSCF and CASPT2 calculations.', 'While the first part of this hypothesis has not been proven fulfilled, i.e., there is not more population channel through the 3 T 1 ′ states in the CASSCF/CASPT2 dynamics compared to the CASSCF dynamics, we find indeed largerto engage in additional interaction with the aryl-substituents in the NNHC-position of the carbene (Figure ).']",0.53125,CASSCF
What are the benefits and drawbacks of using assessed methods and specific computational methods like B97-3c and B3LYP in msRRHO calculations?,What are the benefits and drawbacks of using assessed methods and specific computational methods like a computational method that performs well in msRRHO calculations with more accurate entropies compared to the GFN-FF level and B3LYP in msRRHO calculations?,"The assessed methods exhibit excellent performance with RMSDs and SDs significantly smaller than 0.7 cal mol -1 K -1, which is a positive aspect. However, B97-3c tends to slightly overestimate C p, which is a drawback, while B3LYP shows the opposite trend, which could be seen as a benefit depending on the context.","['Excellent performance is achieved for all assessed methods with RMSDs and SDs (much) smaller than 0.7 cal mol -1 K -1. ', 'Looking at the corresponding mean deviations B97-3c tends to slightly overestimate C p while B3LYP shows the opposite trend.', 'In Fig. , virtually all data points are within an error range of1 cal mol -1 K -1 .The choice of the theoretical level used for the msRRHO calculations seems to be less important as both B97-3c and B3LYP perform well.', 'Here, entropies at the GFN-FF level are overestimated by 4 cal mol -1 K -1 on average compared to the more accurate B97-3c level.']",0.53125,B97
How much water is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?,"How much of the substance used in PC and PEC water splitting with a catalyst in powder form, and in solid oxide electrolysis cells (SOEC) is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?",A minimum of 1.6 metric tons of water,"['A resource-related challenge to wind and photovoltaic electricity-driven ammonia production is the need for clean water, as it requires a minimum of 1.6 metric tons of water for each metric ton of ammonia produced.', 'Thus, these facilities will not have access to a reliable supply of fresh water.', 'However, PC and PEC water splitting are performed using only a catalyst in powder (as suspension or adhere to an electrode), water, and and (c) solid oxide electrolysis cell (SOEC).']",0.529411765,water
What level of resistance against norfloxacin did S. aureus develop?,What level of the ability of bacteria to withstand the effects of antibiotics against norfloxacin did S. aureus develop?,824-fold resistance,"['S. aureus and E. coli developed resistance toward antibiotics quickly, displaying 824-fold resistance against norfloxacin for S. aureus and 64-fold resistance against ampicillin for E. coli.', ""To address this long-lasting challenge, we prepared peptide polymers that display potent and broad-spectrum activity against common pathogenic bacteria in aquaculture, low hemolysis and low cytotoxicity, and doesn't induce bacteria to develop resistance or cross resistance to antibiotics."", 'At present, colistin has been banned as a feed additive in China and Thailand because colistin cannot be completely degraded by enzymes existing in the environment and animals, and the use of colistin in feed is found to accelerate the dissemination of the first mobile mechanism of colistin resistance, termed MCR-1, in animals and then in human beings .']",0.529411765,resistance
Why are Network Hamiltonian models effective in simulating amyloid fibril formation?,Why are Network Hamiltonian models effective in simulating the aggregation of proteins into amyloid fibrils?,Network Hamiltonian models are effective in simulating amyloid fibril formation because they are computationally efficient and capable of capturing essential interactions and dynamics by sacrificing atomic-level details. This approach allows them to reproduce multiple known experimental observables and provides insights into the complex interactions between proteins that lead to amyloid fibril formation.,"['Network Hamiltonian models are a type of highly computationally efficient coarsegrained (CG) molecular simulation, which are capable of reproducing multiple known experimental observables (e.g. topological structures measured via NMR and fibril formation kinetics data from dye-binding fluorescence assays ), and can provide insight into the complex interactions between proteins that lead to the formation of amyloid fibrils. ', 'By sacrificing atomic-level details, these models can capture the essential interactions and dynamics that drive amyloid aggregation.', 'Thus, computational models of protein aggregation can be used to suggest potential mechanisms for amyloid fibril formation at a higher level of detail than attainable in experiments, while still remaining grounded in experiment due to computed observables remaining consistent with experimentally measured observables .', 'The warm color palette signifies the fibril yield for the top 20 fibril-producing parametersNetwork Hamiltonian simulations of amyloid fibril formationNetwork Hamiltonian models are a type of highly computationally efficient coarsegrained (CG) molecular simulation, which are capable of reproducing multiple known experimental observables (e.g. topological structures measured via NMR and fibril formation kinetics data from dye-binding fluorescence assays ), and can provide insight into the complex interactions between proteins that lead to the formation of amyloid fibrils.']",0.529411765,fibril formation
