,Question,Updated_question,Answer,Context,Similarity,Keyword,ID
97,Why do the measured fluorescence intensities need to be adjusted to subtract the background fluorescence?,Why do the measured profiles with time for radial lines of solutions need to be adjusted to subtract the background fluorescence?,"The measured fluorescence intensities need to be adjusted to subtract the background fluorescence to ensure that the data reflects only the fluorescence related to the experiment's conditions, eliminating any influence from ambient light or inherent sensor noise.","['The measured fluorescence intensities, however, need to be adjusted to subtract the background fluorescence. ', 'The background fluorescence (expressed as a gray scale pixel intensity) was subtracted from the ImageJ measured gray scale intensities using method 1 listed in reference.', 'The profiles of fluorescence intensity with time for the radial lines of all solutions were exported to a spreadsheet for further analysis.', 'The measured fluorescence intensities, however, need to be adjusted to subtract the background fluorescence .']",0.523809524,fluorescence intensity,98
311,"Which has a larger deviation between the optical and electronic band gaps, azupyrene or pyrene?","Which has a larger deviation between the optical and electronic band gaps, azupyrene or a substance with a topological difference affecting its -electron system and a first electron removal energy of 2.45 eV?",Azupyrene has a larger deviation between the optical and electronic band gaps compared to pyrene.,"['The deviation between (experimental) optical and (calculated) electronic band gaps of 0.42 eV for azupyrene and 0.20 eV for pyrene. ', 'The large deviation between the electronic and optical band gap for azupyrene is a direct consequence of its nonalternant π-electron system.', 'License: CC BY-NC-ND 4.0HOMA AnalysisIn the following, we will rationalize the effects of the topological difference between pyrene and azupyrene on the \uf070-electron system using the harmonic oscillator model of aromaticity (HOMA).', 'The results of these calculations are shown in Figure of the supporting information (SI).Experimentally, the first electron removal energy, which we can associate with the highest occupied state of azupyrene, is situated at a binding energy of 2.10 eV, which is by 0.35 eV higher in energy for pyrene (2.45 eV).']",0.466666667,pyrene,312
54,Why did the genetic algorithm converge upon producing multiple generations capable of consistently producing high fibril fractions?,"Why did the genetic algorithm converge upon producing multiple generations capable of consistently producing high levels of the proportion of structures exhibiting a substantial increase in the 1,2 2-ribbon amyloid fibril topology?","The genetic algorithm was initialized with parameters that produced low but non-zero fibril fractions and evolved over 10 generations. This approach allowed the algorithm to effectively explore and optimize the parameter space, eventually converging on parameter sets that consistently yielded high fibril fractions.","['In order to showcase the robustness of the genetic algorithm, the four lowest non-zero fibril fraction parameters were selected as generation zero (fibril fractions of 0.04, 0.02, 0.02, and 0.02). ', 'After completing 10 generations of evolution using the genetic algorithm, the process converged upon producing multiple generations capable of consistently producing fibril fractions in excess of .6.', 'The evolution of the 1,2 2-ribbon is highlighted, as it is both the amyloid fibril topology most commonly observed in nature , and it exhibited a substantial increase in fibril fraction as a result of applying our genetic algorithm.', 'Single simulations were run for all parameters, and though most produced zero fibril fraction, a select few did produce some fibrillar structure.']",0.535714286,fibril fraction,55
547,What is the feasibility of MOFs with poor reaction energetics for methane to methanol catalysis?,What is the feasibility of MOFs with poor reaction energetics for the catalysis of a substance responsible for contraction during adsorption in molecular simulations and targeted for direct conversion to methanol?,MOFs with poor reaction energetics are less likely to be feasible for methane to methanol catalysis due to insufficient thermodynamic and kinetic properties.,"['We used DFT to compute reaction energetics and show that LFERs fail to generalize across diverse chemical spaces of MOFs. ', 'We identified promising MOFs for future experimental studies by using this workflow to first select MOF candidates with good reaction energetics and then compute their full energy landscapes to confirm both their thermodynamic and kinetic feasibility for methane to methanol catalysis.', 'This is suggested by the apparition of a step followed by an abrupt drop in the amount of the adsorbed probe in the hysteresis loop at lower relative pressures; ca. 0.4-0.42 and ca. 0.49-0.44 for argon at 87.3K and nitrogen at 77.4K,that combines previously developed machine learning models with DFT to repurpose synthesized MOFs with moderate thermal stability that have not yet been studied experimentally for direct methane to methanol catalysis.', 'Molecular simulations have highlighted the responsible for the contraction during methane adsorption and in later work also the effect of crystallite size <refIntegration of Fluorescent Functionality into Pressure Amplifying Metal-Organic Frameworks The flexibility of soft porous crystals, i.e., their ability to respond to external stimuli with structural changes, is one of the most fascinating features of metal-organic frameworks (MOFs).']",0.4,methane,548
405,What is the step before spontaneous dissociation of the product duplex in the LIDA process?,What is the step before spontaneous dissociation of the structure formed during replication that needs to be destabilized for effective turnover in the LIDA process?,T4 DNA ligase ligates the ternary complex.,"['LIDA involves two coupled cycles initiated by the introduction of a target template (DNA-I) in the presence of an excess of four fragments, two of which (Ia and IbP) constitute the target sequence after their ligation. ', ""In the first step, the DNA-I hybridizes with one of two complementary fragments; the hybridization of the 5'-phosphate abasic containing fragment IIaP to the DNA-I is shown in the scheme in Figure . "", 'Next, the other fragment IIb hybridizes forming a ternary complex. ', 'The T4 DNA ligase present in the solution can ligate the ternary complex to generate the product duplex. ', 'Upon spontaneous dissociation of this product duplex, the newly synthesized DNA-II is liberated, which can template the formation of DNA-I through similar steps (Cycle II, Figure ).', ""Consequently, the field of prebiotic chemistry has mostly abandoned the idea of autonomous oligonucleotide replication after von Kiedrowski's seminal work and instead has focused on scenarios where the local environment is modulated allowing for changes in the template:product duplex stability and therefore turnover of the replication cycle."", 'These simulations reveal two important take-home messages for developers of nonenzymatic self-replicating systems: they should focus on ways to stabilize the intermediate complex as well as ways to destabilize the product duplex and select rapid ligation strategies.']",0.44,product duplex,406
708,"What were the estimated quantum yields of PCP⎼NAP, PCP⎼ANTH, and PCP-TPE respectively?","What were the estimated quantum yields of the substance with a single crystal structure determined using X-Ray Crystallography and simulated electron affinity and ionization potential⎼NAP, the same substance⎼ANTH, and the same substance-TPE respectively?","0.21 for PCP⎼NAP, 0.50 for PCP⎼ANTH, and 0.31 for PCP-TPE","['The quantum yield of PCP⎼NAP, PCP⎼ANTH and PCP-TPE were calculated and estimated as 0.21, 0.50 and 0.31 respectively.', 'These values can be compared to the optical band gaps of 2.54 eV for azupyrene and 3.63 eV for pyrene, as determined by UV/Vis,X-Ray Crystallography:The single crystal of PCP⎼ANTH (4) and PCP⎼', 'To simulate the electron affinity and ionization potential, we utilized density functional theory to calculate the Highest Occupied Molecular Orbital (HOMO) and Lowest Unoccupied Molecular Orbital (LUMO) of PCP⎼']",0.3,PCP,709
611,Why does the electron transfer rate decrease upon deuteration at the SAM-modified Au electrode?,Why does the electron transfer rate decrease when hydrogen atoms in the SAM-modified Au electrode are replaced with their heavier isotope?,"The electron transfer rate decreases upon deuteration at the SAM-modified Au electrode because the kinetic isotope effect for this construct is found to be 1.79, indicating a slower electron transfer rate in the deuterated variant compared to the protonated variant.","['In the case of protonated variant, the ET rate from the SAM modified Au electrode is determined to be 34 s -1 which reduces to 16.75 s -1 when the ET has been done across the deuterated SAM. ', 'Kinetic isotope effect (KIE) for this construct is found to be 1.79.', 'The research shows that while performing regression tasks, the quantum atom pairs provide better fitting to the data than their precursors.to be 53.5 s -1 for N3C16SH-C12SH SAM which upon deuteration decreases to 32 s -1 . (Fig. & 2B) In case of N3C16SH-C16SH SAM, a kapp value of 7.5 s -1 is determined from the slope but surprisingly upon deuteration the apparent ET rate, kapp increases to 19.5 s -1 . (Fig. & 2D) These values of kapp for protonated variants are in close agreement with the previous reports on the systems.', 'Chronoamperometry is also performed in organic medium (DCM having tetra butyl ammonium perchlorate, TBAP as electrolyte) and it is found that the interfacial ET rate decreases upon deuteration as well.']",0.375,deuteration,612
709,What is detected with a value of 0.25 in the case of N3C16SH/D-C16SH/D mixed SAM?,What is detected with a value of 0.25 in the case of a substance that shows a KIE value of 0.38 for through bond tunneling and exhibits much larger ΔEp at slow scan rates when modified on Au electrodes?,An inverse kinetic isotope effect (KIE),"['Interestingly in the case of N3C16SH/D-C16SH/D mixed SAM an inverse KIE is detected with a value of 0.25.', 'The KIE on ET shows a maximum value of ~2 for the N3C11SH/D-C8SH/D SAM modified Au electrode (through space tunneling) which decreases to 0.38 for N3C16SH/D-C16SH/D SAM modified Au electrode (through bond tunneling) with an in between value of KIE of 1.67 for the N3C16SH/D-C12SH/D SAM modified Au electrode (a mixture of through space and through bond tunneling).', ""Alternatively, EtnFc bound N3C16SH/D-C12SD and N3C16SH/D-C16SH/D modified Au electrodes show much larger \uf044Ep at slow scan rates and are amenable to Laviron's treatment.""]",0.297297297,N3C16SH/D-C16SH/D,710
133,Why is the fluorescence lifetime of TIPS-Pn longer in degassed toluene compared to air-equilibrated toluene?,Why is the fluorescence lifetime of a substance with a more intense and distinct T1 absorption for triplets compared to TIPS-Tn longer in degassed toluene compared to air-equilibrated toluene?,"The fluorescence lifetime of TIPS-Pn is longer in degassed toluene because the absence of oxygen in the anhydrous, degassed environment leads to less quenching of the fluorescence, resulting in a longer lifetime.","['the fluorescence lifetime of TIPS-Pn was 13.3 ns in air-equilibrated toluene and 22 ns in degassed toluene. ', 'The anhydrous samples here should have little oxygen present, which is consistent with the 18 ns lifetime measured for TIPS-Pn here being towards the higher end of the previously reported lifetimes.', 'Briefly, the S 1 basis spectrum was determined from the expected concentration of excitons generated by the pump pulse and the TA spectrum at early times, before significant exciton decay, ISC, or SF occurs (supplementary material Sec. S3.1.1 for TIPS-Pn and S3.2.1 for TIPS-Tn).', 'This value is higher than for TIPS-Pn, potentially because the T 1 absorption is both less intense and less distinct from S 1 for TIPS-Tn triplets than for TIPS-Pn triplets, or because some triplets actually form over 8 ns, which contribute to the measured noise.']",0.518518519,tips-pn,134
446,What happens to the shuttling process of HCOOH on anatase when the temperature is increased?,What happens to the shuttling process of HCOOH on a form of titania (TiO2) that has been largely investigated for its adsorption properties of small carboxylic acids when the temperature is increased?,The shuttling process is favored as the temperature increases.,"['Indeed, temperature does affect quantitatively the free energy profile: while at 50 K we obtain a free energy barrier of 0.84 kcal/mol, at 300 K the barrier is 1.17 kcal/mol. ', 'However, in terms of kT, the barrier amounts to 2.0 kT at 300K while it raises to 8.5 kT at 50 K: hence, overall the shuttling process would be favored upon increasing the temperature.', 'We checked also for the effect of dispersion interactions by augmenting the PBE functional with the Grimme D2 correction , in this case the undissociated form is more stable by 0.48 kcal/mol and the shuttling barrier amountsInvestigation of quantum effectsSo far we have discussed the thermal behavior of HCOOH on TiO 2 anatase in a purely classical mechanics frame, which highlighted a double well potential leading to a proton-shuttling mechanism.', 'Besides the environmentally relevant HCOOH⇆CO 2 +H 2 processes, via a direct, ""atom-economical"" greenchemistry route, the most stable and abundant {101} anatase surfaces can trigger formic acid amidation and the oligomerization of aminoacids under prebiotic conditions In view of its relevance, the adsorption of small carboxylic acids on titania (anatase) has been largely investigated both experimentally and by modeling.']",0.433333333,anatase,447
522,Does the Au-thiol interface in SAM coated micro-particles contain thiolates?,Does the Au-thiol interface in a monolayer of molecules with a sulfur head group and an alkyl chain coated micro-particles contain thiolates?,The Au-thiol interface in SAM coated micro-particles likely contains thiolates.,"['High resolution crystal structure and the quantification of H2 gas produced during SAM formation clearly indicates that the Au-thiol interface in SAM coated nanoparticles contains thiolates.', 'The KIE value is found to be dependent on the applied overpotential and in contrast to the N3C11SH/D-C8SH/D mixed SAM, the N3C16SH/D-C12SH/D mixed SAM, show opposite trends in change of KIE with overpotential.', 'In general ET across Au-SAM can be viewed as non-adiabatic with a sharp decrease in electron tunnelling probability with increasing the length of the spacer between the electrode (donor) and the redox active moiety (acceptor) i.e., the chain length of the SAM.']",0.409090909,SAM,523
227,How much water is required for each metric ton of ammonia produced in wind and photovoltaic electricity-driven ammonia production?,How much water is required for each metric ton of a substance produced using wind and photovoltaic electricity in a process that resembles the current infrastructure through the Haber-Bosch process?,A minimum of 1.6 metric tons of water,"['A resource-related challenge to wind and photovoltaic electricity-driven ammonia production is the need for clean water, as it requires a minimum of 1.6 metric tons of water for each metric ton of ammonia produced.', 'The centralized scenario (100 production regions) resembles the current ammonia production infrastructure through the Haber-Bosch process (Figure ).', 'Interestingly, the fully decentralized scenario exhibits a notable shift in the energy sources driving ammonia production.']",0.483870968,ammonia production,228
394,How does the solubility of SOPS compare to that of TPP in organic solvents?,How does the solubility of a substance that exhibits some degree of dissymmetry as evidenced by the presence of all four Q bands compare to that of TPP in organic solvents?,SOPS have much greater solubility in organic solvents than TPP.,"['Owing to their large, three-dimensional hydrophobic surfaces, SOPS (1a-i) have much greater solubility in organic solvents than TPP (2), as seen in Table.', 'Notably, in all SOPS some degree of dissymmetry is evidenced by the presence of all four Q bands, and the respective λmax (Soret and Q bands) of the SOPS are generally redshifted compared to that of 2, with the notable exception of Q4 (Table ).', 'We find that increased ionicity of the M -N bond aids in the substitution of larger M cations into wurtzite AlN, in which thestructural study (M06-2X/6-31G with a polarizable continuum model for dichloromethane solvent) that shows non-planarity in the calculated ground state minimized structure of SOPS in solution (see Supporting Information, Figures and).']",0.444444444,SOPS,395
423,Why does the presence of PFAS result in substantial changes in the oxidation state of the copper atoms in the Cu-HHTP MOF film?,Why does the presence of PFAS result in substantial changes in the oxidation state of the copper atoms in the film made from a 2D copper hexahydroxy triphenylene structure obtained through an on-surface layer-by-layer growth method?,"The presence of PFAS results in substantial changes in the oxidation state of the copper atoms in the Cu-HHTP MOF film because PFAS interacts with the copper atoms, affecting their oxidation state and contributing to the overall charge neutrality within the MOF.","['Though oxygen reduction side reactions are anticipated in our testing conditions contributing overall charge neutrality in solution, Cu-HHTP is able to maintain a stable oxidized structure as shown in Figure a upon adsorption of the PFAS. ', ""XPS spectra of Cu-HTTP films before and after exposure to PFOA solutions revealed substantial changes in oxidation states on the MOF's coordination center as shown in Figure d, e and Fig. . "", 'Noticeably, after exposure, the relative ratio of Cu 1+ to Cu +2 in the MOF decreased, indicating that the presence of PFAS results in substantial changes in the oxidation state of the copper atoms, which as stated above, are key species towards maintaining charge neutrality within the MOF.', 'Morphology analysis:The UV-Vis absorption spectra were collected using an Agilent Cary 6000i UV/Vis/NIR on MOF films grown on cleaned glass substrates.', 'Specifically, the NO2 bindsResults and discussionTo fabricate MOF-based sensors, 2D copper hexahydroxy triphenylene (Cu-HHTP) MOF films were obtained through an on-surface layer-by-layer growth method (Fig. ).']",0.4375,MOF,424
527,Why are the through-space orbital interactions more dominant in MgCCMg compared to CaCCCa and SrCCSr?,Why are the through-space orbital interactions more dominant in a molecule with magnesium atoms bonded to carbon atoms compared to those with calcium or strontium atoms bonded to carbon atoms?,The through-space orbital interactions in MgCCMg are more dominant than in CaCCCa and SrCCSr due to the extended delocalization of the unpaired electron. This can be confirmed by visual inspection of the Dyson orbitals of MgCCH and natural orbitals in MgCCMg.,"['Interestingly, the ordering of the occupations in natural orbitals in MgCCMg is opposite to that in CaCCCa and SrCCSr, yet matches those in Li 2 . ', 'These observations highlight that the through-space orbital interactions in MgCCMg are more dominant than in CaCCCa and SrCCSr due to the extended delocalization of the unpaired electron as can be confirmed by visual inspection of the Dyson orbitals of MgCCH (Figure4A) and natural orbitals in MgCCMg (Figure5A).', 'SI) and the natural orbitals of 1 1 Π g state in MgCCMg are shown as a representative example in Figure5A.', '5: Natural orbitals (isovalue 0.02) of the 1 1 Σ + g and 1 1 Π g states of MgCCMg (A) and energy diagrams of ACCA and corresponding ACCH (B) calculated using EOM-DEA-CCSD/aug-cc-pwCVTZ(-PP).']",0.407407407,mgccmg,528
433,Why do MOFs often show immense surface areas with permanent porosity?,Why do a compositionally tuneable class of materials also termed 3D porous coordination polymers often show immense surface areas with permanent porosity?,"MOFs often show immense surface areas with permanent porosity due to their highly porous coordination networks, which consist of inorganic nodes and linker molecules.","['Over the last two decades, metal-organic frameworks (MOFs) have been established as a new class of highly porous coordination networks consisting of inorganic nodes (metal ions or metal-oxo clusters) and linker molecules.', 'We then label all activation-stable MOFs with their corresponding thermal decomposition temperatures as predicted by the thermal stability ANN and limit our analysis to MOFs containing a single transition-metal element corresponding to Mn, Fe, Co, or Cu, reducing our set to 1,737 MOFs (Figure ).', 'Metal-organic frameworks (MOFs), also termed 3D porous coordination polymers, are a compositionally tuneable class of materials.']",0.434782609,mofs,434
213,How does the vibrational energy and intensity in the IR spectra of pyrene compare to that of azupyrene?,How does the vibrational energy and intensity in the IR spectra of pyrene compare to that of a substance with a nonalternant π-electron system and a large deviation between its electronic and optical band gaps?,"The vibrational energy of azupyrene is higher and more intense compared to pyrene, which has lower energy and intensity.","['Azupyrene shows an intense line at 1381 cm -1, visible in both the experimental and the simulated spectrum. ', 'For pyrene, a similar vibration occurs in the spectrum, but at lower energy (1184 cm -1) and with lower intensity.', 'The large deviation between the electronic and optical band gap for azupyrene is a direct consequence of its nonalternant \uf070-electron system.', 'UPS and NEXAFS show that the electronic band gap of azupyrene is by 0.72 eV smaller than that of the alternant molecule pyrene, and theory predicts a very similar difference of 0.87 eV. The optical gap for the lowest energy transition is 2.54 eV for azupyrene and 3.63 eV for pyrene, yielding an even larger difference of 1.09 eV. One reason why this difference is larger for azupyrene is due to symmetry selection rules, which result in a forbidden HOMO→LUMO transition and the lack of fluorescence for azupyrene.']",0.5,azupyrene,214
155,What is the cost of ammonia production per metric ton when the production scale is around 50 metric tons per day?,"What is the cost per metric ton for producing a substance that is influenced by various technical and economic parameters, when the production scale is around 50 metric tons per day?","The production cost can increase to 1,300 USD per metric ton.","['However, as production scales decrease (∼ 50 tpd), the production cost can increase by more than five times to 1,300 USD/t N H 3.', ""A sensitivity analysis of the average ammonia production cost (Figure ) and the optimal production region locations for an optimized production and distribution network for a 'Black Box' ammonia production system (Figure ) show the influence each technical and economic parameter has on the ammonia production cost and on the optimal locations of wind andWind and photovoltaic electricity-driven ammonia and economic indicatorsAn essential economic indicator for evaluating the economic feasibility of wind and photovoltaic electricity-driven ammonia production is the discount rate."", 'We highlight the potential of wind and photovoltaic electricity-driven ammonia production as a renewable and decentralized alternative to the Haber-Bosch process.']",0.5,ammonia production,156
352,What is only 0.001 Å in the context of the effects on the structure?,"What is only 0.001 Å in the context of the influences on the electronic structure, optical band gaps, and local charge distribution?",The difference in the monomer separation,"['The former has no significant effect on the structure, as the difference in the monomer separation obtained from MP2+δ(T) and CP-MP2+δ(T) is only 0.001 Å.', 'When the effect of correlating all core electrons is added to the MP2+δ(T) potential surface ( ), the minimum in the potential moves even further away from the r m structure is a case of obtaining a correct answer for the wrong reasons.pyrene from azupyrene, has a remarkable influence on the electronic structure as manifested in the electronic and optical band gaps as well as the local charge distribution.', 'The effect of increasing basis set size in the δ(T) component of the MP2+δ(T) recipe is shown in Fig. , in the left panel.']",0.454545455,effect,353
72,Why can the SOMO not be simply described as either a 4d z2 or 5s function on Y?,Why can the molecular orbital that exhibits quenched orbital angular momentum in the ground state and is nearly isotropic not be simply described as either a 4d z2 or 5s function on Y?,"The SOMO cannot be simply described as either a 4d z2 or 5s function on Y because the electron is easily delocalized across the molecule, indicating that the unpaired electron occupies very diffuse ligand-based orbitals.","['There are seven excited states less than 20,000 cm -1 above the ground state, all having the unpaired electron in very diffuse ligand based orbitals (Figs. S37 -S43and Tables ). ', 'This indicates that the electron is easily delocalized across the molecule, and explains why the SOMO cannot be simply described as either a 4d z 2 or 5s function on Y.', 'Our calculations show that this is due to quenched orbital angular momentum in the ground state; vibrational modulation of gor A-anisotropy is minimized because of the near-isotropic nature of these two parameters, effectively rendering the two-level quantum system insensitive to environmental and molecular vibrations.. The isotropic nature of the spin Hamiltonian is also consistent with the observation that there is no significant variation in relaxation dynamics for different orientations, despite the 4d z 2 admixture to the SOMO.', 'This indicates that the electron is easily delocalized across the molecule, and explains why the SOMO cannot be simply described as either a 4d z 2 or 5s function on Y. Indeed, it is not until the eighth and ninth excited states (at ca. 34,000 cm -1 ) that we find other metal-dominated MOs, which correspond mainly to the Y-based 4d xz and 4d yz functions (Figs. S44 and S45, Tables and).']",0.53125,SOMO,73
208,How does the Kinetic Isotope Effect (KIE) value of the N3C11SH/D-C8SH/D SAM modified Au electrode compare to that of the N3C16SH/D-C16SH/D SAM modified Au electrode?,"How does the Kinetic Isotope Effect (KIE) value of the N3C11SH/D-C8SH/D SAM modified Au electrode compare to that of a substance that exhibits an inverse KIE with a value of 0.25, as determined using two different electrochemical techniques?",The KIE value of the N3C11SH/D-C8SH/D SAM modified Au electrode is higher than that of the N3C16SH/D-C16SH/D SAM modified Au electrode.,"['The KIE on ET shows a maximum value of ~2 for the N3C11SH/D-C8SH/D SAM modified Au electrode (through space tunneling) which decreases to 0.38 for N3C16SH/D-C16SH/D SAM modified Au electrode (through bond tunneling) with an in between value of KIE of 1.67 for the N3C16SH/D-C12SH/D SAM modified Au electrode (a mixture of through space and through bond tunneling).', 'Interestingly in the case of N3C16SH/D-C16SH/D mixed SAM an inverse KIE is detected with a value of 0.25.', 'In particular, the KIE can be both normal, as is the case of N3C11SH/D-C8SH/D and N3C16SH/D-C12SH/D SAMs or inverse as in the case of N3C16SH/D-C16SH/D SAM as determined using two different electrochemical techniques.']",0.5,N3C16SH/D-C16SH/D,209
363,Why might the true ISC rate constant be lower than the upper bound used in the model?,Why might the true rate constant for the process that could account for up to 10% of triplets formed after 8 ns at 8 mM be lower than the upper bound used in the model?,"The true ISC rate constant might be lower than the upper bound used in the model because the difference between the shape of the experimental and modeled spectra shows a negative trend as a function of time, which confirms that the amount of T1 predicted using the upper bound for the ISC rate constant is an overestimate.","['The difference between the shape of the experimental and modeled spectra (Fig. )), shows a negative trend as a function of time that is centered at 504 nm. ', 'This result confirms that the amount of T 1 predicted here using the upper bound for the ISC rate constant that we have determined is an overestimate, and thus the true ISC rate constant is lower than this value.', 'Based on the kinetic model and these rate constants, at 8 mM, ISC could account for up to 10% of triplets formed after 8 ns.', 'An upper bound on the rate constant of ISC for TIPS-Tn was determined in a similar manner to that for TIPS-Pn.']",0.451612903,ISC,364
158,What must wind and photovoltaic electricity-driven ammonia production technologies achieve to maintain ammonia costs under the highest market price in the last 5 years?,What must electricity-driven ammonia production technologies that utilize a renewable energy source known for its variability and ability to isolate ammonia and food prices from natural gas market volatility achieve to maintain ammonia costs under the highest market price in the last 5 years?,"To maintain ammonia costs under the highest market price in the last 5 years, wind and photovoltaic electricity-driven ammonia production technologies must achieve one of the following: energy efficiencies above 25% and capital costs below 900 USD/kW, energy efficiencies above 20% and capital costs below 550 USD/kW, or energy efficiencies above 15% and capital costs below 200 USD/kW.","['To achieve an ammonia cost (production + distribution) under the highest market price in the last 5 years (∼ 1,600 USD/t N H 3 ), wind and photovoltaic electricity-driven ammonia production technologies must achieve energy efficiencies above 25% and capital costs below 900 USD/kW, energy efficiencies above 20% and capital costs below 550 USD/kW, or energy efficiencies above 15% and capital costs below 200 USD/kW.', 'wind and photovoltaic electricity-driven ammonia production would better isolate ammonia and thus food prices from the impacts of volatility in the natural gas market.', 'A decentralized wind and photovoltaic electricity-driven ammonia production network has production costs of 143 USD/t N H 3 higher than a centralized production network for a system with 40% energy efficiency.']",0.5,wind,159
63,Why were the binding affinities of TMP-Fl and pcDH determined using fluorescence polarization with specific excitation and emission wavelengths?,Why were the binding affinities of TMP-Fl and pcDH determined using a measure that varies between a minimum and maximum value depending on the concentration of specific components with specific excitation and emission wavelengths?,"The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization with specific excitation and emission wavelengths to accurately measure the interaction between these molecules under controlled conditions, which helps in understanding their binding properties and potential biological relevance.","['The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization recorded on a multimode plate reader (Nivo, PerkinElmer, Waltham, MA, USA). ', 'The excitation and emission wavelengths were set to 480/30 and 530/30 nm, respectively.', 'Cell population containing both fluorophores were aliquoted and frozen.was determined from the plot obtained using Equation (1).P = Pmin + (Pmax -Pmin) × (([L]T + [P]T + Kd,L) -sqrt{([L]T + [P]T + Kd,L) 2 -4[P]T[L]T}) / 2[L]T,(1)where P is the fluorescence polarization at each eDHFR concentration, Pmin is the minimum fluorescence polarization, Pmax is the maximum fluorescence polarization, [L]T is the total concentration of TMP-Fl, and [P]T is the total concentration of eDHFR.To determine the dissociation constant of the eDHFR-pcDH complex, a mixture of pcDH, TMP-Fl (1.5 nM), eDHFR (2.0 nM), and NADPH (5.0 µM) was incubated at 37 °C for 45 min in 100 mM HEPES-NaOH buffer (pH 7.4) containing 100 mM NaCl before the measurements.', 'IC50 values were determined from the plot obtained using Equation (2).P = Pmin + (Pmax -Pmin) / (1 + ([pcDH] / IC50))(2)where P is fluorescence polarization at each pcDH concentration, Pmax is fluorescence polarization without pcDH, and Pmin is minimum fluorescence polarization.']",0.533333333,fluorescence polarization,64
634,How do the changes in R2 and RMSE values compare when using spQAP versus atom pairs?,"How do the changes in R2 and RMSE values compare when using spQAP versus a substance modified to contain information from quantum chemistry, used in the RDKit Python module, and dismissed if generated features show a standard deviation less than 0.05?","The quantum modification of atom pairs, represented by spQAP, caused an average R2 increase from 0.5% to 6% and a decrease in RMSE by about 0.5% to 5%, depending on the predicted property.","['In order to gain more insight into the differences in metrics obtained with spQAP and atom pairs, the relative metrics were calculated as the ratio of metric value obtained with spQAP to the value obtained with atom pairs minus 1. ', 'The quantum modification of atom pairs caused an average value of R 2 increase from 0.5% to 6% and the RMSE decreased about 0.5% to 5% depending on the predicted property.', 'ConclusionsIn the research, novel molecular descriptors were introduced by modifying traditional atom pairs to contain information from quantum chemistry.', 'Whereas the quantum mechanical picture (proton sharing)in the RDKit Python module: Morgan fingerprints, atom pairs, topological torsions, RDKit fingerprints and molecular descriptors. Due to the high dimensionality of data and the possible presence of noise, generated features that showed a standard deviation less than 0.05 were dismissed.oxidized and the reduced partner during ET, and the effect of anharmonicity.']",0.358974359,atom pair,635
265,What are the 31 P NMR signal values for ligands 1a and 1b?,What are the 31 P NMR signal values for the electron-rich ligand with superior donor properties for gold-catalyzed hydroamination of alkynes and ligand 1b?,102.5 and 100.2 ppm,"['Ligands 1a and 1b are characterized by 31 P NMR signals at 102.5 and 100.2 ppm, respectively, upfield-shifted compared to their respective ClP(NR2)2 precursors.', 'This illustrates the influence of the amino groups on phosphorus to render ligands 1a and 1b more electron rich and thus as a class with superior donor properties for the gold -catalyzed hydroamination of alkynes.', 'No obvious difference in performance between ligands 1a and 1b was noted.']",0.47826087,ligand 1a,266
49,Why do adaptive-partitioning (AP) QM/MM methods allow the partition of the system to change during the MD simulation?,Why do adaptive-partitioning (AP) QM/MM methods allow the partition of the system to change during the simulation that shows deficiencies in simulating the DD compared to QM studies?,"Adaptive-partitioning (AP) QM/MM methods allow the partition of the system to change during the MD simulation because regular QM/MM methods, which have a fixed system partition, are not suitable for simulations where active regions dynamically occur or vanish.","['Adaptive-partitioning (AP) QM/MM extends QM/MM and allows the partition of the system to change during the MD simulation. ', 'Most of the energy-conserving AP-QM/MM methods partition the system according to distances to active region centers. ', 'The active', 'The deficiencies of these methods in simulating the DD can be seen in the QM studies of model systems, which reveal effects and processes in the DD that were missing from BCA and classical MD simulations.', 'It is also found in Figure that, different to TST rates based on PMF barriers, the directly calculated rates from diffusion time of MD trajectories show an obvious non-Arrhenius property, which should be close to the practical motif of an elementary process in heterogeneous catalysis.']",0.538461538,MD,50
590,What did the EOM-SF calculations show to be nearly identical for all three ACCAs?,What did the calculations using the method that reaches target low-spin Ψ Ms=0 states by applying a spin-flipping excitation operator RMs=-1 to the high-spin reference Ψ Ms=1 state show to be nearly identical for all three ACCAs?,"The decay time in the IA-300 region is slower, decaying almost to zero over 1.1 ps, whereas in other regions like GSB-355, IA-400, GSB-550, and IA-GSB-600, the absorption difference decays twofold in 0.5 ps but remains approximately constant in the subsequent 1.1 ps.","['The EOM-SF calculations showed that the geometries of the ground X 1 Σ + g and 1 3 Σ + u states of all three ACCAs are nearly identical.', 'In the EOM-SF method, the target low-spin Ψ Ms=0 states are reached by applying spin-flipping excitation operator RMs=-1 to the high-spin reference Ψ Ms=1 state: Ψ Ms=0 = RMs=-1 Ψ Ms=1 .', 'For example, the manifold of low-lying diradical and triradical states can be accessed by the EOM-SF ansatz .']",0.382352941,EOM-SF,591
